2022-05-19 10:05:687 INFO  HomePage :29 - Mouse Hover to Buy+Sell Tab [[ChromeDriver: chrome on WINDOWS (f7b91b14dc21081bc327b9117eed941d)] -> xpath: //a[contains(text(),'buy + sell')]]
2022-05-19 10:05:872 INFO  HomePage :34 - Click on Search Cars [[ChromeDriver: chrome on WINDOWS (f7b91b14dc21081bc327b9117eed941d)] -> xpath: //a[contains(text(),'Search Cars')]]
2022-05-19 10:05:545 INFO  NewAndUsedCarSearchPage :39 - Getting a Page Header for Verification : [[ChromeDriver: chrome on WINDOWS (f7b91b14dc21081bc327b9117eed941d)] -> xpath: //div[@class='heading main-heading item-ad-wrapper ']/h1]
2022-05-19 10:05:784 INFO  NewAndUsedCarSearchPage :45 - Click on Car Make : [[ChromeDriver: chrome on WINDOWS (f7b91b14dc21081bc327b9117eed941d)] -> xpath: //select[@id='makes']]
2022-05-19 10:05:900 INFO  NewAndUsedCarSearchPage :50 - Click on Car Model : [[ChromeDriver: chrome on WINDOWS (f7b91b14dc21081bc327b9117eed941d)] -> xpath: //select[@id='models']]
2022-05-19 10:05:10 INFO  NewAndUsedCarSearchPage :55 - Click on Location : [[ChromeDriver: chrome on WINDOWS (f7b91b14dc21081bc327b9117eed941d)] -> xpath: //select[@id='locations']]
2022-05-19 10:05:116 INFO  NewAndUsedCarSearchPage :60 - Click on Price : [[ChromeDriver: chrome on WINDOWS (f7b91b14dc21081bc327b9117eed941d)] -> xpath: //select[@id='priceTo']]
2022-05-19 10:05:443 INFO  NewAndUsedCarSearchPage :65 - Click on find my next Car Button : [[ChromeDriver: chrome on WINDOWS (f7b91b14dc21081bc327b9117eed941d)] -> xpath: //input[@id='search-submit']]
2022-05-19 10:05:460 INFO  SearchResultPage :24 - Getting a Result for Verification : [[ChromeDriver: chrome on WINDOWS (f7b91b14dc21081bc327b9117eed941d)] -> xpath: //h1[@class='listing-search-title']]
2022-05-19 10:05:294 INFO  ManageDriver :31 - Launching Chrome Browser
2022-05-19 10:05:834 INFO  ManageDriver :31 - Launching Chrome Browser
2022-05-19 10:05:687 INFO  HomePage :29 - Mouse Hover to Buy+Sell Tab [[ChromeDriver: chrome on WINDOWS (664d639254cf4babbc82dd85c5140be9)] -> xpath: //a[contains(text(),'buy + sell')]]
2022-05-19 10:05:899 INFO  HomePage :39 - Click on Used Cars [[ChromeDriver: chrome on WINDOWS (664d639254cf4babbc82dd85c5140be9)] -> xpath: //div[@class='uhf-child-content']//a[contains(text(),'Used')]]
2022-05-19 10:05:675 INFO  UsedCarsPage :39 - Getting a Page Header for Verification : [[ChromeDriver: chrome on WINDOWS (664d639254cf4babbc82dd85c5140be9)] -> xpath: //div[@class='heading main-heading item-ad-wrapper ']/h1]
2022-05-19 10:05:910 INFO  UsedCarsPage :45 - Click on Car Make : [[ChromeDriver: chrome on WINDOWS (664d639254cf4babbc82dd85c5140be9)] -> xpath: //select[@id='makes']]
2022-05-19 10:05:101 INFO  UsedCarsPage :50 - Click on Car Model : [[ChromeDriver: chrome on WINDOWS (664d639254cf4babbc82dd85c5140be9)] -> xpath: //select[@id='models']]
2022-05-19 10:05:207 INFO  UsedCarsPage :55 - Click on Location : [[ChromeDriver: chrome on WINDOWS (664d639254cf4babbc82dd85c5140be9)] -> xpath: //select[@id='locations']]
2022-05-19 10:05:298 INFO  UsedCarsPage :60 - Click on Price : [[ChromeDriver: chrome on WINDOWS (664d639254cf4babbc82dd85c5140be9)] -> xpath: //select[@id='priceTo']]
2022-05-19 10:05:763 INFO  UsedCarsPage :65 - Click on find my next Car Button : [[ChromeDriver: chrome on WINDOWS (664d639254cf4babbc82dd85c5140be9)] -> xpath: //input[@id='search-submit']]
2022-05-19 10:05:824 INFO  SearchResultPage :24 - Getting a Result for Verification : [[ChromeDriver: chrome on WINDOWS (664d639254cf4babbc82dd85c5140be9)] -> xpath: //h1[@class='listing-search-title']]
2022-05-19 10:05:668 INFO  ManageDriver :31 - Launching Chrome Browser
2022-05-19 10:05:723 INFO  HomePage :29 - Mouse Hover to Buy+Sell Tab [[ChromeDriver: chrome on WINDOWS (32b4a5972469dbcd79f1edd850016738)] -> xpath: //a[contains(text(),'buy + sell')]]
2022-05-19 10:05:923 INFO  HomePage :39 - Click on Used Cars [[ChromeDriver: chrome on WINDOWS (32b4a5972469dbcd79f1edd850016738)] -> xpath: //div[@class='uhf-child-content']//a[contains(text(),'Used')]]
2022-05-19 10:05:386 INFO  UsedCarsPage :39 - Getting a Page Header for Verification : [[ChromeDriver: chrome on WINDOWS (32b4a5972469dbcd79f1edd850016738)] -> xpath: //div[@class='heading main-heading item-ad-wrapper ']/h1]
2022-05-19 10:05:646 INFO  UsedCarsPage :45 - Click on Car Make : [[ChromeDriver: chrome on WINDOWS (32b4a5972469dbcd79f1edd850016738)] -> xpath: //select[@id='makes']]
2022-05-19 10:05:823 INFO  UsedCarsPage :50 - Click on Car Model : [[ChromeDriver: chrome on WINDOWS (32b4a5972469dbcd79f1edd850016738)] -> xpath: //select[@id='models']]
2022-05-19 10:05:911 INFO  UsedCarsPage :55 - Click on Location : [[ChromeDriver: chrome on WINDOWS (32b4a5972469dbcd79f1edd850016738)] -> xpath: //select[@id='locations']]
2022-05-19 10:05:15 INFO  UsedCarsPage :60 - Click on Price : [[ChromeDriver: chrome on WINDOWS (32b4a5972469dbcd79f1edd850016738)] -> xpath: //select[@id='priceTo']]
2022-05-19 10:05:896 INFO  UsedCarsPage :65 - Click on find my next Car Button : [[ChromeDriver: chrome on WINDOWS (32b4a5972469dbcd79f1edd850016738)] -> xpath: //input[@id='search-submit']]
2022-05-19 10:05:917 INFO  SearchResultPage :24 - Getting a Result for Verification : [[ChromeDriver: chrome on WINDOWS (32b4a5972469dbcd79f1edd850016738)] -> xpath: //h1[@class='listing-search-title']]
2022-05-19 10:05:747 INFO  ManageDriver :31 - Launching Chrome Browser
2022-05-19 10:05:671 INFO  HomePage :29 - Mouse Hover to Buy+Sell Tab [[ChromeDriver: chrome on WINDOWS (60d7c2cd52f59ba04fa271155baeec66)] -> xpath: //a[contains(text(),'buy + sell')]]
2022-05-19 10:05:871 INFO  HomePage :39 - Click on Used Cars [[ChromeDriver: chrome on WINDOWS (60d7c2cd52f59ba04fa271155baeec66)] -> xpath: //div[@class='uhf-child-content']//a[contains(text(),'Used')]]
2022-05-19 10:05:728 INFO  UsedCarsPage :39 - Getting a Page Header for Verification : [[ChromeDriver: chrome on WINDOWS (60d7c2cd52f59ba04fa271155baeec66)] -> xpath: //div[@class='heading main-heading item-ad-wrapper ']/h1]
2022-05-19 10:05:771 INFO  UsedCarsPage :45 - Click on Car Make : [[ChromeDriver: chrome on WINDOWS (60d7c2cd52f59ba04fa271155baeec66)] -> xpath: //select[@id='makes']]
2022-05-19 10:05:936 INFO  UsedCarsPage :50 - Click on Car Model : [[ChromeDriver: chrome on WINDOWS (60d7c2cd52f59ba04fa271155baeec66)] -> xpath: //select[@id='models']]
2022-05-19 10:05:73 INFO  UsedCarsPage :55 - Click on Location : [[ChromeDriver: chrome on WINDOWS (60d7c2cd52f59ba04fa271155baeec66)] -> xpath: //select[@id='locations']]
2022-05-19 10:05:267 INFO  UsedCarsPage :60 - Click on Price : [[ChromeDriver: chrome on WINDOWS (60d7c2cd52f59ba04fa271155baeec66)] -> xpath: //select[@id='priceTo']]
2022-05-19 10:05:325 INFO  UsedCarsPage :65 - Click on find my next Car Button : [[ChromeDriver: chrome on WINDOWS (60d7c2cd52f59ba04fa271155baeec66)] -> xpath: //input[@id='search-submit']]
2022-05-19 10:05:349 INFO  SearchResultPage :24 - Getting a Result for Verification : [[ChromeDriver: chrome on WINDOWS (60d7c2cd52f59ba04fa271155baeec66)] -> xpath: //h1[@class='listing-search-title']]
2022-05-19 10:05:277 INFO  ManageDriver :31 - Launching Chrome Browser
2022-05-19 10:05:734 INFO  HomePage :29 - Mouse Hover to Buy+Sell Tab [[ChromeDriver: chrome on WINDOWS (5801110b9ee86ac937e9a60bad65327f)] -> xpath: //a[contains(text(),'buy + sell')]]
2022-05-19 10:05:927 INFO  HomePage :39 - Click on Used Cars [[ChromeDriver: chrome on WINDOWS (5801110b9ee86ac937e9a60bad65327f)] -> xpath: //div[@class='uhf-child-content']//a[contains(text(),'Used')]]
2022-05-19 10:05:516 INFO  UsedCarsPage :39 - Getting a Page Header for Verification : [[ChromeDriver: chrome on WINDOWS (5801110b9ee86ac937e9a60bad65327f)] -> xpath: //div[@class='heading main-heading item-ad-wrapper ']/h1]
2022-05-19 10:05:629 INFO  UsedCarsPage :45 - Click on Car Make : [[ChromeDriver: chrome on WINDOWS (5801110b9ee86ac937e9a60bad65327f)] -> xpath: //select[@id='makes']]
2022-05-19 10:05:830 INFO  UsedCarsPage :50 - Click on Car Model : [[ChromeDriver: chrome on WINDOWS (5801110b9ee86ac937e9a60bad65327f)] -> xpath: //select[@id='models']]
2022-05-19 10:05:04 INFO  UsedCarsPage :55 - Click on Location : [[ChromeDriver: chrome on WINDOWS (5801110b9ee86ac937e9a60bad65327f)] -> xpath: //select[@id='locations']]
2022-05-19 10:05:122 INFO  UsedCarsPage :60 - Click on Price : [[ChromeDriver: chrome on WINDOWS (5801110b9ee86ac937e9a60bad65327f)] -> xpath: //select[@id='priceTo']]
2022-05-19 10:05:257 INFO  UsedCarsPage :65 - Click on find my next Car Button : [[ChromeDriver: chrome on WINDOWS (5801110b9ee86ac937e9a60bad65327f)] -> xpath: //input[@id='search-submit']]
2022-05-19 10:05:400 INFO  SearchResultPage :24 - Getting a Result for Verification : [[ChromeDriver: chrome on WINDOWS (5801110b9ee86ac937e9a60bad65327f)] -> xpath: //h1[@class='listing-search-title']]
2022-05-19 10:05:200 INFO  ManageDriver :31 - Launching Chrome Browser
2022-05-19 10:05:486 INFO  HomePage :29 - Mouse Hover to Buy+Sell Tab [[ChromeDriver: chrome on WINDOWS (14faeffc87c2c8632c38aad64e73f2f9)] -> xpath: //a[contains(text(),'buy + sell')]]
2022-05-19 10:05:717 INFO  HomePage :39 - Click on Used Cars [[ChromeDriver: chrome on WINDOWS (14faeffc87c2c8632c38aad64e73f2f9)] -> xpath: //div[@class='uhf-child-content']//a[contains(text(),'Used')]]
2022-05-19 10:05:358 INFO  UsedCarsPage :39 - Getting a Page Header for Verification : [[ChromeDriver: chrome on WINDOWS (14faeffc87c2c8632c38aad64e73f2f9)] -> xpath: //div[@class='heading main-heading item-ad-wrapper ']/h1]
2022-05-19 10:05:831 INFO  UsedCarsPage :45 - Click on Car Make : [[ChromeDriver: chrome on WINDOWS (14faeffc87c2c8632c38aad64e73f2f9)] -> xpath: //select[@id='makes']]
2022-05-19 10:05:141 INFO  UsedCarsPage :50 - Click on Car Model : [[ChromeDriver: chrome on WINDOWS (14faeffc87c2c8632c38aad64e73f2f9)] -> xpath: //select[@id='models']]
2022-05-19 10:05:240 INFO  UsedCarsPage :55 - Click on Location : [[ChromeDriver: chrome on WINDOWS (14faeffc87c2c8632c38aad64e73f2f9)] -> xpath: //select[@id='locations']]
2022-05-19 10:05:341 INFO  UsedCarsPage :60 - Click on Price : [[ChromeDriver: chrome on WINDOWS (14faeffc87c2c8632c38aad64e73f2f9)] -> xpath: //select[@id='priceTo']]
2022-05-19 10:05:424 INFO  UsedCarsPage :65 - Click on find my next Car Button : [[ChromeDriver: chrome on WINDOWS (14faeffc87c2c8632c38aad64e73f2f9)] -> xpath: //input[@id='search-submit']]
2022-05-19 10:05:202 INFO  SearchResultPage :24 - Getting a Result for Verification : [[ChromeDriver: chrome on WINDOWS (14faeffc87c2c8632c38aad64e73f2f9)] -> xpath: //h1[@class='listing-search-title']]
2022-05-19 11:05:17 INFO  ManageDriver :31 - Launching Chrome Browser
2022-05-19 11:05:932 INFO  HomePage :29 - Mouse Hover to Buy+Sell Tab [[ChromeDriver: chrome on WINDOWS (4ea573611912c8c4a3c444cdf6750ea7)] -> xpath: //a[contains(text(),'buy + sell')]]
2022-05-19 11:05:95 INFO  HomePage :34 - Click on Search Cars [[ChromeDriver: chrome on WINDOWS (4ea573611912c8c4a3c444cdf6750ea7)] -> xpath: //a[contains(text(),'Search Cars')]]
2022-05-19 11:05:346 INFO  NewAndUsedCarSearchPage :39 - Getting a Page Header for Verification : [[ChromeDriver: chrome on WINDOWS (4ea573611912c8c4a3c444cdf6750ea7)] -> xpath: //div[@class='heading main-heading item-ad-wrapper ']/h1]
2022-05-19 11:05:918 INFO  NewAndUsedCarSearchPage :45 - Click on Car Make : [[ChromeDriver: chrome on WINDOWS (4ea573611912c8c4a3c444cdf6750ea7)] -> xpath: //select[@id='makes']]
2022-05-19 11:05:36 INFO  NewAndUsedCarSearchPage :50 - Click on Car Model : [[ChromeDriver: chrome on WINDOWS (4ea573611912c8c4a3c444cdf6750ea7)] -> xpath: //select[@id='models']]
